Org Name,Primary Segment,Secondary Segments,Focus,Description,Funding Model,Funding Detail,Website
Peregrine Technologies,GovTech,,"State,City","Real-time data intelligence platform for public safety and government agencies, enabling state and local governments to unify siloed data for decision-making across law enforcement, emergency response, fraud detection, and health services. Serves agencies protecting 80M+ Americans. Tripled revenue each of the prior three years. High-profile deployments include coordinating multi-agency operations at Super Bowl LIX. Passes capacity test: gives government agencies better real-time intelligence to make decisions - does not replace government personnel.",VC-backed; Growth stage,$220M total raised; $190M Series C (Mar 2025) led by Sequoia Capital at $2.5B valuation; prior $30M Series B (May 2024),peregrine.io
Polco,GovTech,,"State,City","Community engagement and survey platform built for local government. Powers the National Community Survey (NCS) used by 600+ jurisdictions. Provides benchmarking data, resident polling, and budget simulation tools for city managers and elected officials.",VC-backed; Growth stage,National Research Center merger; $15M+ raised; 600+ jurisdictions using National Community Survey,polco.us
Promise,GovTech,,"State,City","Modernizes government payment and collections systems, helping agencies recover revenue while giving residents flexible, humane payment options. Sells directly to government billing departments.",VC-backed; Growth stage,Y Combinator (S19) + follow-on; $30M+ total raised; government payment modernization,promise-pay.com
SimpliGov,GovTech,,"Federal,State,City","No-code workflow automation platform purpose-built for government, digitizing paper-based processes like licensing, permits, HR onboarding, and constituent requests. Clients include federal agencies and state/local governments.",VC-backed; Growth stage,JMI Equity strategic growth investment (Jan 2025; undisclosed amount); state and local workflow automation leader,simpligov.com
Zencity,GovTech,,"State,City","AI-powered community insights platform helping local governments understand resident sentiment, measure service satisfaction, and make data-driven decisions. Acquired UK-based Commonplace. Used by 350+ cities including NYC, Phoenix, and Nashville.",VC-backed; Growth stage,"TLV Partners, M12 (Microsoft); $30M+ raised; 350+ city clients including NYC, Phoenix, Nashville",zencity.io
AI Now Institute of Technology,Research,Think Tank,"Federal,State","Independent policy research institute (est. 2017 at NYU; fully independent since 2022) studying the social implications of AI with a focus on power concentration, public accountability, and government use of AI. Annual Landscape Report is a field-defining publication on AI governance. Leadership advised the FTC on AI in 2021-22. Research covers government use of AI in benefits systems, hiring, criminal justice, and public services - making it directly relevant to state capacity accountability. Explicitly refuses corporate tech funding to maintain independence. 2025 Landscape Report: ""Artificial Power"" focused on reclaiming public control over AI trajectory. Funded by Ford Foundation, Open Society Foundations, Omidyar Network, Luminate.",Philanthropy,"Ford Foundation, Open Society Foundations, Omidyar Network, Luminate; no corporate tech industry funding",ainowinstitute.org
Aspen Institute,Research,"Think Tank,Training","Federal,State,City","Nonpartisan forum for values-based leadership. Relevant programs include Aspen Policy Academy (see Training segment), Aspen Digital (tech policy), and various governance convenings. Broader than state capacity but significant convening power at leadership level.",Philanthropy,Broad philanthropic base; major foundation support; event revenue,aspeninstitute.org
Bipartisan Policy Center (BPC),Research,Think Tank,Federal,"Centrist think tank founded by former Senate majority leaders from both parties. Governance program focuses on congressional capacity, executive branch management, and government modernization. Technology project examines AI governance and digital government policy.",Philanthropy,Bipartisan philanthropic base; foundation and corporate support,bipartisanpolicy.org
Brookings: Center for Technology Innovation,Research,Think Tank,"Federal,State,City","Policy research on AI governance, digital government, tech talent, and government modernization. Congressional testimony.",Philanthropy,Brookings endowment + donor-supported projects,brookings.edu/center/center-for-technology-innovation
Building State Capability (BSC) - Harvard Kennedy School,Research,University,"Federal,State,City","Applied research program at Harvard Kennedy School led by Prof. Matt Andrews, pioneering the Problem Driven Iterative Adaptation (PDIA) methodology for escaping government capability traps. Foundational scholarship on why government reforms fail (isomorphic mimicry, premature load-bearing) and how to build real implementation capacity. Has trained 4,850+ practitioners in 157 countries including US state and local officials. Offers online courses, executive education, and PDIA coaching. Most directly relevant academic program to the core question of how governments build implementation capacity.",University,Harvard Kennedy School endowment + earned revenue from executive education,bsc.hks.harvard.edu
Center for a New American Security (CNAS),Research,Think Tank,Federal,"Bipartisan national security think tank. Technology and National Security program researches AI, emerging tech, and defense innovation. [NOTE: Primarily defense-focused. State capacity relevance is limited to where defense tech/AI governance intersects with broader government modernization.]",Philanthropy,Broad bipartisan donor base; foundation and government grants,cnas.org
Center for Democracy and Technology (CDT),Research,"Think Tank,Advocacy",Federal,"Nonpartisan 501(c)(3) (est. 1994) promoting democratic values by shaping technology policy with a focus on individual rights. CDT AI Governance Lab (launched May 2023, director Miranda Bogen) is the most state capacity-relevant unit - advises policymakers on AI auditing, safety, and accountability; publishes technical guidance on bias measurement, AI documentation, fairness assessments, and government use of AI in benefits, education, and law enforcement. Works directly with federal agencies and regulators. Hosted fellowships for researchers on algorithmic fairness and AI safety. In 2024 the Lab analyzed open foundation model risks with Stanford HAI and published reports on AI assurance and action-taking AI agents.",Philanthropy,"Foundation-funded; Ford Foundation, Open Society Foundations, and others; no corporate tech funding",cdt.org
Center for Tribal Digital Sovereignty (ASU / NCAI),Research,"University,Advocacy",Tribal,"First and only center in the US dedicated to helping tribal governments build digital sovereignty plans. Launched June 2024 as a partnership between the American Indian Policy Institute (AIPI) at ASU Law and the National Congress of American Indians. Serves all 574 federally recognized Tribal Nations. Provides research, capacity-building support, and policy advocacy. Publishes AI governance frameworks for tribal contexts (Feb 2026). Co-hosts the annual Wiring the Rez conference (227 participants from 44 Tribal nations in 2025). Seed funding from Ford Foundation and Google.org. Acts as clearinghouse for tribal digital sovereignty resources - broadband governance, data sovereignty, spectrum management, and tribal tech codes.","Philanthropy,University",Ford Foundation + Google.org seed funding; ASU and NCAI foundational support; seeking additional philanthropic partners,aipi.asu.edu/ctds
Centre for Public Impact (CPI),Research,Think Tank,"Federal,State,City","Global not-for-profit providing government reimagining consulting, adaptive leadership coaching, and legitimacy frameworks.",Philanthropy,BCG Foundation,centreforpublicimpact.org
Council of State Governments (CSG),Research,Think Tank,State,"Founded 1933 - the nation's only nonpartisan organization serving all three branches of state government. Publishes the annual Book of the States (comprehensive statistical reference on state government) and Capitol Ideas magazine. New CSG 50-State Scan policy research series (2025) examines top priorities including government performance and reform. CSG Justice Center develops research-driven criminal justice reform strategies. Six regional offices support state legislators, governors, and judicial officials with research, TA, and peer exchange.",Government,State appropriations (population-based dues) + federal grants + foundation grants,csg.org
Data & Society,Research,,"Federal,State,City",Research institute studying social implications of data and AI. Public Technology Leadership Collaborative connects tech experts with government leaders.,Philanthropy,"Ford Foundation, MacArthur Foundation, Siegel Family Endowment",datasociety.net
Foundation for American Innovation,Research,Think Tank,"Federal,State,City","Think tank advancing technology-government interface with senior fellows and policy work on AI governance, innovation policy, and institutional reform.",Philanthropy,Philanthropic grants,thefai.org
Georgetown Beeck Center,Research,"University,Digital Services & Consulting,Training","State,City","Provides technical assistance, communities of practice, and practitioner training on digital government, data governance, and AI for state/local agencies. Runs Digital Government Hub.","University,Philanthropy","Georgetown + Annie E. Casey Foundation, Bloomberg, others",beeckcenter.georgetown.edu
Governing Institute,Research,Think Tank,"State,City","Research and events arm of Governing (media platform for state/local leaders). Produces research on government performance, digital transformation, and AI adoption. Partners with Center for Digital Government on Digital States/Cities surveys.",Philanthropy,Governing/GovTech parent company (e.Republic) + sponsor-supported research,governing.com
Government Finance Officers Association (GFOA),Research,Think Tank,"Federal,State,City","National professional association of 30,000+ state, provincial, and local government finance officers (est. 1906). Publishes the authoritative Governmental Accounting, Auditing, and Financial Reporting guide (GAAFR/""Blue Book"") and Government Finance Review magazine. Research and Consulting Center is the market leader in helping local governments procure ERP and financial systems - has assisted 450+ governments with system selection and contract negotiation. Runs best practice award programs (CAFR, budget awards) and leadership training. 1-year Research Fellows program for recent UChicago graduates.",Government,Member dues + conference revenue + consulting fees + publication sales,gfoa.org
GovEx / Johns Hopkins Centers for Civic Impact,Research,"University,Digital Services & Consulting,Training",City,"Bloomberg Center for Government Excellence at Johns Hopkins. Provides technical assistance, coaching, and training to help cities use data, analytics, and AI. Runs City Data Alliance and GovEx Academy (online courses). Worked with 140+ cities. CDOs-in-Residence program.","University,Philanthropy","Bloomberg Philanthropies, Ballmer Group, Knight Foundation, Gates Foundation + JHU",govex.jhu.edu
Harvard Ash Center for Democratic Governance and Innovation,Research,University,"Federal,State,City","Leading academic center for government innovation and democratic governance at Harvard Kennedy School. $50M Ford Foundation endowment. Programs include: Innovations in American Government Awards (recognizing excellence in state/local government since 1985); Data-Smart City Solutions (Bloomberg-funded, covering city data and AI); Allen Lab for Democracy Renovation (technology and democratic institutions); and Harvard Project on American Indian Economic Development. Houses the Bloomberg Harvard City Leadership Initiative executive education program.","University,Philanthropy",$50M Ford Foundation endowment + Bloomberg Philanthropies ($32M for City Leadership Initiative) + Harvard Kennedy School,ash.harvard.edu
IBM Center for the Business of Government,Research,Think Tank,"Federal,State,City","Independent research center (est. 1998 as PricewaterhouseCoopers Endowment; acquired by IBM 2002) funding third-party practitioner-focused research on public management at federal, state, and local levels. Publishes 25+ reports per year on digital modernization, AI adoption, workforce, procurement, and service delivery. 2024-25 publications include GenAI for state government, AI-powered procurement, federal workforce transformation, and reducing administrative burden. Hosts forums, radio program, and maintains practitioner fellows. Led by Executive Director Dan Chenok (former career federal CIO executive).",Corporate Philanthropy,IBM corporate funding,businessofgovernment.org
Information Technology and Innovation Foundation (ITIF),Research,Think Tank,"Federal,State,City","Nonpartisan science and tech policy think tank. Research on government IT modernization, AI policy, and digital infrastructure. Published 'After DOGE: Trump's Chance to Modernize.'",Philanthropy,Foundation grants + industry sponsorship,itif.org
Manhattan Institute,Research,Think Tank,"Federal,State,City","Center-right think tank focused on urban policy and public-sector reform. Governance program promotes transparency, accountability, and evidence-based reforms. Published 'Digital Transformation: Wiring the Responsive City.' City Journal magazine covers urban governance and innovation. Cities Director John Ketcham leads governance work.",Philanthropy,Conservative philanthropic base; individual and foundation donors,manhattan.institute
Mercatus Center (George Mason University),Research,"Think Tank,University","Federal,State","University-based research center. Regulatory reform, permitting modernization, and government process improvement research. Published influential work on regulatory accumulation and its effects on government capacity. Technology policy program.","University,Philanthropy",George Mason University + Koch-affiliated and broad donor base,mercatus.org
MIT GOV/LAB,Research,University,"Federal,State,City","Research lab studying government innovation, political accountability, and institutional design using field experiments and design thinking.","University,Philanthropy",MIT endowment + donor support,mitgovlab.org
NASCIO (National Association of State Chief Information Officers),Research,Think Tank,State,"The primary peer network, research body, and voice for state CIOs. Conducts the annual State CIO Survey (51 state/territory responses in 2025) and publishes State CIO Top 10 Priorities. Partners with McKinsey, EY, and Deloitte on major research initiatives including GenAI adoption, cybersecurity, and data quality. Hosts two annual conferences in DC and a fall gathering. Produces the definitive annual mapping of state technology priorities. NASCIO State IT Recognition Awards annually highlight the most innovative state IT programs.",Government,State membership dues + corporate associate program + conference revenue,nascio.org
National Academy of Public Administration (NAPA),Research,,"Federal,State,City","Congressionally chartered. Convenes expert panels studying federal agency management, organizational design, and institutional effectiveness.",Government,Congressional appropriations + study fees,napawash.org
National Civic League,Research,Think Tank,City,"Nonpartisan nonprofit (est. 1894) promoting civic engagement and government innovation. All-America City Award (oldest community recognition in US). Research on collaborative governance, civic infrastructure, and democratic innovation.",Philanthropy,Foundation grants + membership + earned revenue,nationalcivicleague.org
National Conference of State Legislatures (NCSL),Research,Think Tank,State,"Bipartisan organization serving all 7,500+ state legislators and legislative staff across all 50 states, commonwealths, and territories. Produces nonpartisan policy research, technical assistance, and legislative tracking across every major issue area including technology, AI (tracked 450+ bills in 23 AI categories in 2024), cybersecurity, broadband, and digital government. Annual Legislative Summit and Fall Forum. Budget of ~$40M. Dual headquarters in Denver and DC.",Government,State legislative appropriations (member dues) + federal grants + foundation grants,ncsl.org
National League of Cities (NLC),Research,Think Tank,City,"Membership organization and research body representing 19,000+ cities, towns, and villages - serving 90%+ of Americans. Annual State of Cities report (12th edition 2025) surveys mayors on top priorities. Publishes State and Local Fiscal Facts and digital government research. Partners with Beeck Center on digital services guidance for local governments. Hosts annual City Summit and State of GovTech conference (with CivStart) for city CIOs and elected officials. Advocates for federal policy supporting city capacity, broadband, and AI governance.",Government,City membership dues + foundation grants + federal grants,nlc.org
New America: Public Interest Technology,Research,"Fellowships,Advocacy","Federal,State,City","PIT program: fellowships, The Commons (procurement research), policy research. Co-convenes PIT University Network (PIT-UN): 63 institutions, $16M+ deployed.",Philanthropy,"Ford Foundation, Hewlett Foundation, Siegel Family Endowment",newamerica.org/public-interest-technology
NGA Center for Best Practices,Research,Think Tank,State,"The only R&D organization in the nation that directly serves governors. Develops innovative policy solutions through five divisions (economic/workforce, education, environment/energy/transportation, health, homeland security). Runs policy academies with cohorts of state teams on specific implementation challenges (SNAP E&T delivery, healthcare workforce, service-to-career pathways). Publishes 50-state analyses and provides direct TA to governors' offices. Annual budget ~$30M. Funded by state dues and federal grants.",Government,State appropriations (population-based dues) + federal grants + foundation support,nga.org/bestpractices
Niskanen Center: Project on State Capacity,Research,Think Tank,"Federal,State,City","Dedicated state capacity research initiative. Published 'The How We Need Now' capacity agenda. Policy research on civil service reform, digital modernization, product operating model, implementation-focused legislation.",Philanthropy,"Open Philanthropy, broad donor base",niskanencenter.org/policy/state-capacity
Pew Charitable Trusts: Government Performance,Research,,"Federal,State","Nonpartisan research organization with a dedicated Strengthen State Government program producing the definitive empirical research on state fiscal health, rainy day funds, tax policy, and government performance. Fiscal 50 platform tracks all 50 states on revenue, spending, and reserves. Also tracks state courts modernization and government accountability. Explicitly nonadvocacy - research is designed to inform rather than persuade policymakers.",Philanthropy,$7B+ endowment; earned revenue from research contracts,pew.org/en/topics/strengthen-state-government
Princeton CITP,Research,University,"Federal,State,City","Research on AI governance, data privacy, cybersecurity policy. Technology Fellows program (2025) for experienced gov technologists. Summer fellowships.",University,Princeton endowment,citp.princeton.edu
Progressive Policy Institute (PPI),Research,Think Tank,"Federal,State,City","Center-left think tank (Third Way/New Democrat tradition). Technology and innovation policy program. Research on government digital transformation, broadband, AI policy, and building state capacity through technology. Founded by Democratic Leadership Council veterans.",Philanthropy,Foundation grants + individual donors,progressivepolicy.org
R Street Institute,Research,Think Tank,"Federal,State,City","Free-market think tank producing research on limited, effective government, regulatory reform, and tech policy.",Philanthropy,Broad philanthropic base,rstreet.org
RAND Corporation,Research,Digital Services & Consulting,"Federal,State,City","Nonpartisan research institute. Center on AI, Security & Technology (RAND CAST) researches transformative AI policy. Published work on scaling AI in state/local government, adaptive governance frameworks, and national AI strategy. Founding partner of PIT University Network. Also does direct government consulting.","Philanthropy,Government","Open Philanthropy, government contracts, endowment, broad donor base",rand.org
Responsible AI Institute (RAI Institute),Research,Think Tank,"Federal,State,City","Independent nonprofit providing AI certification, conformity assessments, and responsible AI tools for government agencies. Develops standards and frameworks for trustworthy AI procurement and deployment.",Philanthropy,Philanthropic grants + certification revenue,responsible.ai
Searchlight Institute,Research,Think Tank,"Federal,State,City","A Democratic-aligned policy think tank focused on reshaping the party's strategy toward broader, more electorally viable positions.",Philanthropy,Philanthropic grants,searchlightinstitute.org
Stanford Digital Economy Lab,Research,University,"Federal,State,City","Research on technology's impact on economy, work, and institutions (Erik Brynjolfsson). Quantitative research on AI economics and labor markets.","University,Philanthropy",Stanford endowment + donor support,digitaleconomy.stanford.edu
The GovLab (NYU Tandon + Burnes Center at Northeastern),Research,University,"Federal,State,City","Research lab studying how technology and data improve governance. Open data, data collaboratives, collective intelligence, and citizen engagement.","University,Philanthropy","NYU, MacArthur Foundation, Knight Foundation",thegovlab.org
Urban Institute,Research,,"Federal,State,City","Nonpartisan research organization studying social and economic policy. Research on government finance, social safety net delivery, benefits modernization, and evidence-based policy implementation. Data tools and interactive dashboards for policymakers. Work on how government systems deliver (or fail to deliver) services.","Philanthropy,Government",Foundation grants + government research contracts + endowment,urban.org
Volcker Alliance,Research,Think Tank,"Federal,State,City","Research and ratings on government effectiveness, public finance, and government workforce. Government-to-University Initiative for MPA/MPP pipeline.",Philanthropy,Volcker Foundation + donors,volckeralliance.org
Yale Tobin Center for Economic Policy,Research,"Think Tank,University","Federal,State,City",Domestic policy center providing direct technical assistance to governments and multi-university research partnerships on evidence-based policy.,University,Yale endowment + donor support,tobin.yale.edu
